Contact ID;Master;Recent Conversion;Original Source Drill-Down 2;Original Source Drill-Down 1;Original Source;IP Country;Momento
19079951;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;Unknown keywords (SSL);Auto-tagged PPC;Paid Search;colombia;
19079701;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;
19078951;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;united arab emirates;Contactado Efectivo
19077701;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_general_junio;Facebook;Paid Social;;
19077001;Full Stack Development;Máster Full Stack Development - Nuclio digital School: Fullstack Landing Form ;fsd0920_general_abril;Facebook;Paid Social;spain;
17464301;Digital Marketing - EN;Online Master in Digital Marketing - Nuclio digital School: Descarga Catalogo Digital Marketing EN ;;nuclio.school/school;Direct Traffic;luxembourg;
19075101;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI STR Junio 2;uxui1020_streaming-esp_junio;Facebook;Paid Social;;
19074301;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;germany;
19074251;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Junio Streaming;dtm0920_streaming-general_junio;Facebook;Paid Social;;
19073451;Dirección de Ventas B2B;Facebook Lead Ads: B2B Junio Form;b2b0920_general_junio;Facebook;Paid Social;;
19073201;Bilbao - Digital Traffic Management;Facebook Lead Ads: DTM Bilbao Form Light;bilbao_programas_julio;Facebook;Paid Social;;
19072801;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;germany;
19072101;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;portugal;
19070951;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;lithuania;
19070451;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing ;dm0520_general-landing_diciembre;Facebook;Paid Social;italy;
19069551;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;france;
19069251;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;turkey;
19069151;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;
19068101;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_países-landing_febrero;Facebook;Paid Social;qatar;
19067601;;;36503;INTEGRATION;Offline Sources;;
19067501;;;36503;INTEGRATION;Offline Sources;;
19066351;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;
19065901;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_general_junio;Facebook;Paid Social;;
19065301;Digital Product Management - Streaming;Facebook Lead Ads: DPM Streaming Julio;dpm0920_streaming-general_julio;Facebook;Paid Social;;Trámites e-mail
19063001;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;kuwait;
19062851;Digital Product Management - EN;Digital Product Management Master - Nuclio digital School: Product EN - WEB - English Landing   ;project  manager  digital;long_tail_general;Paid Search;spain;
19059251;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Junio Streaming;dtm0920_streaming-general_junio;Facebook;Paid Social;;
19058701;Digital Product Management - Streaming;Facebook Lead Ads: DPM Streaming Julio;dpm0920_streaming-general_julio;Facebook;Paid Social;;Contactado Efectivo
19058351;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;portugal;
19058251;;;EMAIL_INTEGRATION;SALES;Offline Sources;;
19056901;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19056451;;;Zoom Integration;INTEGRATION;Offline Sources;;
19056151;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;Unknown keywords (SSL);Auto-tagged PPC;Paid Search;turkey;Contactado Efectivo
19055651;Digital Traffic Management;Facebook Lead Ads: DTM Abril;dtm0920_general_junio;Facebook;Paid Social;;Contactado Efectivo
19055401;;;;API;Offline Sources;;
19054601;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0920_general_abril;Facebook;Paid Social;spain;
19053301;Digital Traffic Management - Streaming;Máster Digital Traffic Management Streaming - Nuclio digital School: Máster Traffic Streaming - Landing PPC;marketing  digital;bck_general;Paid Search;spain;
19051901;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;
19051751;;;36503;INTEGRATION;Offline Sources;;
19051201;;;;API;Offline Sources;;
19051001;;;Zoom Integration;INTEGRATION;Offline Sources;;
19050001;;;Zoom Integration;INTEGRATION;Offline Sources;;
19049801;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;Trámites e-mail
19048701;;;Zoom Integration;INTEGRATION;Offline Sources;;
19048301;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_países-landing_febrero;Facebook;Paid Social;kuwait;
19048201;Master en UX/UI;Facebook Lead Ads: UX/UI Design Form Julio;uxui1020_general-form_julio;Facebook;Paid Social;united states;Concertado
19048151;Data Science;;CRM_UI;CONTACTS;Offline Sources;;
19045951;Digital Marketing - EN;;CRM_UI;CONTACTS;Offline Sources;;Contactado Efectivo
19045901;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;Contactado Efectivo
19045801;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;;
19045301;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19044801;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;ireland;
19044501;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;
19044201;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19043651;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;ireland;
19043551;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0920_general_abril;Facebook;Paid Social;;
19041651;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0920_general_abril;Facebook;Paid Social;;
19041001;Bilbao - Digital Traffic Management;Facebook Lead Ads: DTM Bilbao Form Light;bilbao_programas_julio;Facebook;Paid Social;;
19040851;Bilbao - UX/UI Design;Facebook Lead Ads: UX/UI Bilbao Form Light;bilbao_programas_julio;Facebook;Paid Social;;
19040551;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;portugal;
19040401;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_general_junio;Facebook;Paid Social;;
19039851;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;denmark;
19039551;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;saudi arabia;
19039151;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;spain;
19039051;Master en UX/UI;Facebook Lead Ads: UX/UI Design Form Julio;uxui1020_general-form_julio;Facebook;Paid Social;;
19038901;Bilbao - Digital Traffic Management;Facebook Lead Ads: DTM Bilbao Form Light;bilbao_programas_julio;Facebook;Paid Social;;
19037901;Digital Product Management;Máster Digital Product Management - Nuclio digital School: Descarga Catalogo Digital Product Manager;dpm0920_presencial_junio;Facebook;Paid Social;spain;
19037701;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Product EN - WEB - English Landing   ;dpmen0320_países-landing_febrero;Facebook;Paid Social;turkey;
19036851;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing ;dm0520_general-landing_diciembre;Facebook;Paid Social;estonia;
19036951;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;Contactado Efectivo
19036751;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Junio Streaming;dtm0920_streaming-general_junio;Facebook;Paid Social;;Contactado Efectivo
19035651;;;;API;Offline Sources;;
19035151;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Junio Streaming;dtm0920_streaming-general_junio;Facebook;Paid Social;;
19034651;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;belgium;
19034051;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_general_junio;Facebook;Paid Social;;
19033751;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;Contactado Efectivo
19033501;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;Concertado
19033301;;;FacebookMessenger;SOCIAL;Offline Sources;;
19032401;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19032151;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Junio Streaming;dtm0920_streaming-general_junio;Facebook;Paid Social;;Concertado
19031601;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;saudi arabia;
19031501;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0920_general_abril;Facebook;Paid Social;;
19031451;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;Trámites e-mail
19031101;Bilbao - Data Science;Facebook Lead Ads: DSC Bilbao Form Light;bilbao_programas_julio;Facebook;Paid Social;;
19030901;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_países-landing_febrero;Facebook;Paid Social;jordan;Concertado
19030751;Master en UX/UI;Máster UX/UI Design Streaming - Nuclio digital School: Descarga Catalogo UX/UI;cursos  diseño  grafico;bck_general;Paid Search;spain;
19030801;Dirección de Ventas B2B;Facebook Lead Ads: B2B Junio Form;b2b0920_general_junio;Facebook;Paid Social;;
19029901;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;kuwait;
19029701;Bilbao - Data Science;Facebook Lead Ads: DSC Bilbao Form Light;bilbao_programas_julio;Facebook;Paid Social;;
19029551;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;
19029301;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;Trámites e-mail
19028551;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19027451;Dirección de Ventas B2B;Facebook Lead Ads: B2B Junio Form;b2b0920_general_junio;Facebook;Paid Social;spain;
19027301;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
19027101;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;
19026951;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;Concertado
19026801;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;belgium;
19025951;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;
19025851;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_general_junio;Facebook;Paid Social;;Contactado Efectivo
19025301;Digital Traffic Management - Streaming;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;Unknown keywords (SSL);Auto-tagged PPC;Paid Search;brazil;
19024751;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;;
19023951;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;united arab emirates;
19024101;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_general_junio;Facebook;Paid Social;;Contactado Efectivo
19023851;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_general_junio;Facebook;Paid Social;;Contactado Efectivo
19023001;Data Science;Máster en Data Science | la era de los Datos | Nuclio digital School: Augmented Analytics - Form Landing;GOOGLE;Unknown keywords (SSL);Organic Search;spain;
19023101;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_general_junio;Facebook;Paid Social;;
19022601;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;Trámites e-mail
19022001;Digital Product Management - EN;Digital Product Management Master - Nuclio digital School: Product EN - WEB - English Landing   ;;nuclio.school/;Direct Traffic;united arab emirates;
19021751;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;netherlands;
19021501;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0920_general_abril;Facebook;Paid Social;;
19020901;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;
19020601;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI STR Junio 2;uxui1020_streaming-esp_junio;Facebook;Paid Social;;
19020451;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI STR Junio 2;uxui1020_streaming-esp_junio;Facebook;Paid Social;;
19020151;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
19019901;Bilbao - Digital Traffic Management;Facebook Lead Ads: DTM Bilbao Form Light;bilbao_programas_julio;Facebook;Paid Social;;
19019601;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;
19019701;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;ireland;
19019401;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;;Contactado Efectivo
19019151;Digital Traffic Management;Facebook Lead Ads: DTM Abril;dtm0920_general_junio;Facebook;Paid Social;;
19018951;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;ireland;
19018801;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19018101;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
19016701;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19015901;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
19015651;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;
19014901;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;
18572501;Digital Marketing - EN;Online Master in Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing ;dm0520_general-landing_diciembre;Facebook;Paid Social;portugal;
19014001;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
19013801;Digital Traffic Management;Facebook Lead Ads: DTM Abril;dtm0920_general_junio;Facebook;Paid Social;;
19012501;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;Concertado
19012051;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;Unknown keywords (SSL);Auto-tagged PPC;Paid Search;portugal;
19011701;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19011651;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;Concertado
19011601;B2B Management - EN;Master in B2B Sales Management - Nuclio digital School: Descarga Catalogo B2B EN;GOOGLE;Unknown keywords (SSL);Organic Search;austria;
19011501;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19011451;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_países-landing_febrero;Facebook;Paid Social;saudi arabia;
19011351;Digital Marketing - EN;Online Master in Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing ;;Instagram;Social Media;france;
19010851;Dirección de Ventas B2B;Facebook Lead Ads: B2B Junio Form;b2b0920_general_junio;Facebook;Paid Social;;Contactado Efectivo
19010501;;;;API;Offline Sources;;
19009701;Digital Traffic Management;Facebook Lead Ads: DTM Junio-2;dpm0920_presencial_junio;Facebook;Paid Social;;
19009101;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;saudi arabia;
19008301;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
19008051;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;
19007851;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;portugal;
19007301;Digital Marketing - EN;Online Master in Digital Marketing - Nuclio digital School: Descarga Catalogo Digital Marketing EN ;;nuclio.school/online-master-in-digital-marketing;Direct Traffic;israel;Concertado
19007451;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;
19007101;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;;Contactado Efectivo
19006401;Bilbao - Digital Traffic Management;Facebook Lead Ads: DTM Bilbao Form Light;bilbao_programas_julio;Facebook;Paid Social;;
19006051;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;;
19005901;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Descarga Catalogo Digital Product Manager EN;dpmen0320_países-landing_febrero;Facebook;Paid Social;kuwait;
19005951;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
19005101;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;Trámites e-mail
19002901;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Junio Streaming;dtm0920_streaming-general_junio;Facebook;Paid Social;;
19002601;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;
19002551;Digital Traffic Management;Facebook Lead Ads: DTM Abril;dtm0920_general_junio;Facebook;Paid Social;spain;Entrevistado
19002051;Digital Traffic Management;Facebook Lead Ads: DPM Streaming Julio;dpm0920_streaming-general_julio;Facebook;Paid Social;;Contactado Efectivo
19001301;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;Contactado Efectivo
19001351;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;Contactado Efectivo
19000951;Digital Marketing - EN;Facebook Lead Ads: DM May Form;dm1020_last-push_mayo;Facebook;Paid Social;portugal;Contactado Efectivo
19000651;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;czech republic;
19000501;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_top-paises_julio;Facebook;Paid Social;;
19000251;Digital Product Management - EN;Digital Product Management Master - Nuclio digital School: Descarga Catalogo Digital Product Manager EN;dpmen0920_europa_junio;Facebook;Paid Social;sweden;Entrevistado
19000101;Full Stack Development;Full Stack Developer - PPC - Nuclio digital School: Landing PPC Full Stack Developer;cursos  programacion;bck_general;Paid Search;spain;
18999201;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0920_general_abril;Facebook;Paid Social;;
18998951;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;spain;Contactado Efectivo
18998851;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI STR Junio 2;uxui1020_streaming-esp_junio;Facebook;Paid Social;;
18998601;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;
18998201;B2B Management - EN;Facebook Lead Ads: B2B EN J Form;b2ben1020_top-paises_julio;Facebook;Paid Social;;
18998051;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI STR Junio 2;uxui1020_streaming-esp_junio;Facebook;Paid Social;;Contactado Efectivo
18996951;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;Concertado
18996701;Digital Product Management - Streaming;Facebook Lead Ads: DPM Streaming Julio;dpm0920_streaming-general_julio;Facebook;Paid Social;;
18996401;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0920_general_abril;Facebook;Paid Social;;Contactado Efectivo
18995451;Digital Product Management - EN;Digital Product Management Master - Nuclio digital School: Descarga Catalogo Digital Product Manager EN;dpmen0320_paises2-landing_febrero;Facebook;Paid Social;saudi arabia;Contactado Efectivo
18994901;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Product EN - WEB - English Landing   ;dpmen0320_paises2-landing_febrero;Facebook;Paid Social;turkey;Trámites e-mail
18995151;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;;
18994301;Digital Product Management - EN;Facebook Lead Ads: DPM EN Junio;dpmen0920_europa_junio;Facebook;Paid Social;;Entrevistado
18993751;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;Concertado
18992501;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI STR Junio 2;uxui1020_streaming-esp_junio;Facebook;Paid Social;;
18991851;Digital Product Management;Facebook Lead Ads: DPM Form Marzo;dpm0920_presencial_junio;Facebook;Paid Social;spain;
18991551;Data Science;Facebook Lead Ads: DSC Julio Form;mds0920_segmentación-form_julio;Facebook;Paid Social;spain;Entrevistado
18991001;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI STR Junio 2;uxui1020_streaming-esp_junio;Facebook;Paid Social;;
18990601;Data Science;Facebook Lead Ads: DSC Julio Form- Ciudad;mds0920_segmentación-form_julio;Facebook;Paid Social;;Contactado Efectivo
18114151;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;belgium;
18987951;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;fsd0920_streaming_mayo;Facebook;Paid Social;;
18986951;Digital Product Management - Streaming;Facebook Lead Ads: DPM Streaming Julio;dpm0920_streaming-general_julio;Facebook;Paid Social;;
18986701;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;courses  management;dm0520_search_diciembre;Paid Search;portugal;
18986651;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;courses  management;dm0520_search_diciembre;Paid Search;portugal;
